file,iden,name,position,team,before,after,source
1979,D7E1F335-C758-F537-35C5-5D30E2404ACB,Alfred Jackson,WR,ATL,dark,dark,"Mike period layer, PSKI {'5': 4, '4': 1}, files ['1978Roster (1).PLAY.', '1996Roster.PLAY.csv', 'Mike-NFL1980-1989.PL', 'MuscleMike-LM67 3.PL']"
1979,66A5B9D7-F8D5-870A-2613-0F2C7895794F,Alfred Jenkins,WR,ATL,dark,dark,"Mike period layer, PSKI {'4': 6, '5': 1}, files ['1976Roster.PLAY.csv', '1978Roster (1).PLAY.', 'Mike-NFL1970-1974.PL', 'Mike-NFL1980-1989.PL', 'Mike-USFL_WFL.PLAY.c', 'MuscleMike-LM67 3.PL']"
1979,12EB9AA1-E55D-5A33-0F01-54810843227B,Billy Ryckman,WR,ATL,light,light,"Mike period layer, PSKI {'1': 3}, files ['1978Roster (1).PLAY.', 'Mike-NFL1980-1989.PL', 'MuscleMike-LM67 3.PL']"
1979,AAE4B89A-9676-3FC1-F5C0-8713FB2174F7,Bob Glazebrook,S,ATL,light,light,"Mike period layer, PSKI {'0': 3}, files ['1978Roster (1).PLAY.', 'Mike-NFL1980-1989.PL', 'MuscleMike-LM67 3.PL']"
1979,A0FBC4CB-B976-F8EA-06E7-D4231A873D39,Brian Cabral,MLB,ATL,light,light,"Mike period layer, PSKI {'2': 2}, files ['Mike-NFL1980-1989.PL', 'MuscleMike-LM67 3.PL']"
1979,0DFCF366-AEA5-B5F5-D75B-F766A8FF40CC,Bubba Bean,RB,ATL,dark,dark,"Mike period layer, PSKI {'5': 3}, files ['1976Roster.PLAY.csv', '1978Roster (1).PLAY.', 'Mike-NFL1970-1974.PL']"
1979,CB961EA2-BEBD-AE2B-5359-242638B3AC52,Dave Scott,OG,ATL,dark,dark,"Mike period layer, PSKI {'4': 4, '5': 1}, files ['1976Roster.PLAY.csv', '1978Roster (1).PLAY.', 'Mike-NFL1970-1974.PL', 'Mike-NFL1980-1989.PL', 'MuscleMike-LM67 3.PL']"
1979,35F54DEB-F598-F1B4-AF59-35EEAE15FCC4,Dennis Pearson,WR,ATL,dark,dark,"Mike period layer, PSKI {'5': 1}, files ['1978Roster (1).PLAY.']"
1979,C41AEE5B-9E8B-99CF-9288-6EDE66FCEA5C,Dewey McClain,OLB,ATL,light,dark,"Mike period layer, PSKI {'5': 7}, files ['1976Roster.PLAY.csv', '1978Roster (1).PLAY.', 'Mike-NFL1970-1974.PL', 'Mike-NFL1980-1989.PL', 'Mike-USFL_WFL.PLAY.c', 'MuscleMike-LM67 3.PL']"
1979,6DA9DA82-8983-6B6A-3A03-01134705A90B,Don Smith,DE,ATL,light,light,"Mike period layer, PSKI {'1': 3, '0': 1, '5': 1}, files ['Mike-NFL1980-1989.PL', 'Mike-USFL_WFL.PLAY.c', 'MuscleMike-LM67 3.PL']"
1979,4032AE9C-1392-7BAF-C0A9-8CE53715EEF6,Edgar Fields,DT,ATL,dark,dark,"Mike period layer, PSKI {'5': 1, '4': 2}, files ['1978Roster (1).PLAY.', 'Mike-NFL1980-1989.PL', 'MuscleMike-LM67 3.PL']"
1979,385EA634-795F-7BFE-D436-EE44F02230F5,Frank Reed,S,ATL,dark,dark,"Mike period layer, PSKI {'4': 4, '5': 1}, files ['1976Roster.PLAY.csv', '1978Roster (1).PLAY.', 'Mike-NFL1970-1974.PL', 'Mike-NFL1980-1989.PL', 'MuscleMike-LM67 3.PL']"
1979,906D81EB-9796-7945-D799-A4DA702C9E48,Fulton Kuykendall,OLB,ATL,light,light,"Mike period layer, PSKI {'7': 2, '3': 1, '1': 2, '0': 2}, files ['1976Roster.PLAY.csv', '1978Roster (1).PLAY.', 'Mike-NFL1970-1974.PL', 'Mike-NFL1980-1989.PL', 'Mike-USFL_WFL.PLAY.c', 'MuscleMike-LM67 3.PL']"
1979,69F8A0A8-EBA9-6A1D-711C-003257FDEFFE,Greg Brezina,OLB,ATL,light,light,"Mike period layer, PSKI {'1': 6}, files ['1976Roster.PLAY.csv', '1978Roster (1).PLAY.', 'Mike-NFL1970-1974.PL', 'Mike-USFL_WFL.PLAY.c', 'MuscleMike-LM67 3.PL']"
